Code_Postal;Diff_ConsoResidentiel;Diff_ConsoProfessionel;ConsoResidentielTotal;ConsoProfessionelTotal;Commune;Diff_ConsoIndustriel;ConsoIndustrielTotal;Diff_ConsoTertiaire;ConsoTertiaireTotal
16364;0.000000;0.000000;0.000000;0.000000;Sauvagnac;0.000000;0.000000;-9.244343;471.692751
16365;0.000000;0.000000;0.000000;0.000000;Sauvignac;0.000000;0.000000;0.000000;0.000000
16366;2311.809360;676.847724;35486.179726;12463.890490;Segonzac;359.304745;4418.079974;-176.992553;9560.075672
16368;1400.491993;33.337315;16942.149705;1514.801238;Sers;0.000000;0.000000;-3.690976;359.130945
16369;1239.665765;-212.748722;18791.954541;3777.979961;Sigogne;195.838986;2373.742528;-41.064271;202.792473
16370;1169.419729;-305.671760;21131.976081;2915.064078;Sireuil;-66.517667;4087.864022;881.147470;3153.933896
16371;328.377600;19.942991;3252.865602;798.388548;Sonneville;0.000000;0.000000;0.000000;0.000000
16372;297.990605;28.101947;3212.313189;629.505507;Souffrignac;0.000000;0.000000;0.000000;0.000000
16373;163.281237;-216.717833;3889.587138;1006.564503;Souvigné;0.000000;0.000000;0.000000;0.000000
16374;-74280.287428;-28723.456566;14856.057486;5744.691313;Soyaux;-321.816756;12717.626082;8648.438395;134851.764838
16375;654.372365;184.852934;7313.824393;1532.482527;Suaux;0.000000;0.000000;-41.522843;1888.130463
16376;358.191188;-62.759599;4945.891509;968.215960;Suris;-4953.326903;11848.497727;19.757900;87.432186
16377;114.335786;5.815419;2271.025459;530.878917;La Tâche;287.589439;287.589439;0.000000;0.000000
16378;599.950359;37.579645;10298.367838;1470.521051;Taizé-Aizie;0.000000;0.000000;0.000000;0.000000
16379;1513.807330;29.720918;25106.991101;1686.838011;Taponnat-Fleurignac;102.602047;433.168523;844.583713;1054.502419
16380;1042.764355;-7.164909;6958.642858;1825.838863;Le Tâtre;2072.100145;2072.100145;-66.956034;205.593734
16381;478.312442;-355.094013;3739.865405;903.840831;Theil-Rabier;0.000000;0.000000;-104.644611;969.373978
16382;427.772233;-104.254323;15795.525083;1700.814246;Torsac;0.000000;0.000000;1.352821;114.172085
16383;1103.589509;332.352967;13027.685090;1659.017522;Tourriers;190.133575;4051.289179;0.920540;38.468699
16384;621.344680;368.762967;10786.585709;3450.008597;Touvérac;238.201407;4573.518059;-943.381423;11682.521369
16385;1155.074917;256.540250;19676.484766;1405.997048;Touvre;1094.241319;21295.862408;-596.993271;17475.375408
16386;455.597200;-33.188060;7838.512239;2088.624499;Touzac;69.414612;788.567039;0.000000;0.000000
16387;546.262377;128.927265;8615.322433;2008.569971;Triac-Lautrait;0.000000;0.000000;-436.584551;3070.948908
16388;1508.648417;-17.517120;15598.531362;825.563584;Trois-Palis;5.136000;5.136000;389.888139;2564.297709
16389;0.000000;0.000000;0.000000;0.000000;Turgon;0.000000;0.000000;0.000000;0.000000
16390;433.439544;383.490319;3620.374821;2135.771382;Tusson;0.000000;0.000000;142.155043;877.512508
16391;0.000000;0.000000;0.000000;0.000000;Tuzie;0.000000;0.000000;0.000000;0.000000
16392;173.285015;11.242352;3711.606808;795.368002;Valence;0.000000;0.000000;0.000000;0.000000
16393;4027.768510;676.632759;38387.807768;4678.999959;Vars;1123.089198;6048.073403;2601.067134;33597.005122
16394;-274.193630;-13.162902;1366.782605;199.347872;Vaux-Lavalette;0.000000;0.000000;0.000000;0.000000
16395;567.323353;-150.669680;4423.880556;1000.666859;Vaux-Rouillac;0.000000;0.000000;-71.346004;179.010073
16396;170.561225;-498.144718;1834.371694;435.418557;Ventouse;-25.385129;480.763582;0.000000;0.000000
16397;275.545699;32.825809;6777.307300;1795.083603;Verdille;-268.969313;29507.805135;146.648934;1341.581146
16398;54.973662;47.573965;2102.043626;938.707064;Verneuil;0.000000;0.000000;0.000000;0.000000
16399;598.152550;309.393497;5240.456677;2602.451888;Verrières;0.000000;0.000000;0.000000;0.000000
16400;1587.535113;-79.302279;14409.934442;3553.485103;Verteuil-sur-Charente;-76.544209;861.810375;51.543882;3210.803450
16401;1792.141295;123.710197;1792.141295;123.710197;Vervant;0.000000;0.000000;216.617134;1224.165252
16402;291.437769;-32.656443;6488.195127;1069.865903;Vibrac;57.630017;249.150017;0.000000;0.000000
16403;0.000000;0.000000;0.000000;0.000000;Le Vieux-Cérier;62.986000;62.986000;0.000000;0.000000
16404;-543.994949;-121.582020;1374.333600;263.562826;Vieux-Ruffec;0.000000;0.000000;63.028014;350.013129
16405;187.972302;124.461441;2811.994607;731.409350;Vignolles;0.000000;0.000000;434.143173;1472.348763
16406;860.041936;27.048812;6951.777322;681.543130;Vilhonneur;-252.985624;2170.970959;0.000000;0.000000
16408;457.764006;33.048446;10904.724389;5015.627159;Villebois-Lavalette;171.119520;2073.710703;102.719658;17246.448719
16409;568.399606;-365.961170;15875.106428;7678.648078;Villefagnan;54.039337;92.534675;552.084728;3549.525774
16410;203.420050;-18.849415;4215.594251;249.044907;Villegats;0.000000;0.000000;12.891885;656.404238
16411;-67.174406;136.685732;10629.891206;2065.371757;Villejésus;-44.255669;11335.551259;396.968865;1715.670914
16412;0.000000;0.000000;0.000000;0.000000;Villejoubert;0.000000;0.000000;-6.371495;135.411243
16413;0.000000;0.000000;0.000000;0.000000;Villiers-le-Roux;0.000000;0.000000;0.000000;0.000000
16414;623.066130;188.970377;6945.739189;613.423870;Villognon;3399.623801;3399.623801;559.058851;1089.923650
16415;1030.237300;463.654299;22012.423470;1757.442117;Vindelle;-71.913236;142.204423;85.382515;336.030099
16416;689.679283;-215.753431;8638.841920;1124.680836;Vitrac-Saint-Vincent;0.000000;0.000000;0.000000;0.000000
16417;90.008782;-33.479140;1965.966553;506.114407;Viville;0.000000;0.000000;0.000000;0.000000
16418;1191.599123;-295.261308;26643.724041;1924.191257;Voeuil-et-Giget;-2896.668922;9294.913771;860.988453;2550.374341
16419;553.826664;60.412711;7062.406737;969.573980;Vouharte;130.774918;130.774918;0.000000;0.000000
16420;212.942160;54.597695;4594.488628;653.671187;Voulgézac;0.000000;0.000000;-447.919531;332.755501
16421;517.489083;139.662898;7144.431001;813.913480;Vouthon;0.000000;0.000000;4.484442;952.955437
16422;1000.082524;60.655643;13729.585638;716.659489;Vouzan;0.000000;0.000000;14.391827;249.724907
16423;530.140127;126.746374;6404.557660;1104.771570;Xambes;-64.081658;427.122206;42.344196;202.246209
16424;661.564236;-32.877516;9300.694448;1203.398778;Yviers;63.618967;71.439624;809.587512;2065.844940
